"Index","Ticket","FixVersion"
"554","BOOKKEEPER-728","4.3.0"
"555","BOOKKEEPER-727","4.3.0"
"556","BOOKKEEPER-726","4.3.0"
"557","BOOKKEEPER-726","4.2.3"
"558","BOOKKEEPER-725","4.3.0"
"559","BOOKKEEPER-725","4.2.3"
"560","BOOKKEEPER-724","4.3.0"
"561","BOOKKEEPER-720","4.3.0"
"562","BOOKKEEPER-719","4.3.0"
"563","BOOKKEEPER-717","4.3.0"
"564","BOOKKEEPER-716","4.3.0"
"565","BOOKKEEPER-715","4.3.0"
"566","BOOKKEEPER-714","4.3.0"
"567","BOOKKEEPER-714","4.2.3"
"568","BOOKKEEPER-712","4.3.0"
"569","BOOKKEEPER-712","4.2.3"
"570","BOOKKEEPER-711","4.3.0"
"571","BOOKKEEPER-711","4.2.3"
"572","BOOKKEEPER-710","4.3.0"
"573","BOOKKEEPER-710","4.2.3"
"574","BOOKKEEPER-709","4.3.0"
"575","BOOKKEEPER-708","4.3.0"
"576","BOOKKEEPER-708","4.2.3"
"577","BOOKKEEPER-704","4.3.0"
"578","BOOKKEEPER-703","4.3.0"
"579","BOOKKEEPER-701","4.3.0"
"580","BOOKKEEPER-700","4.3.0"
"581","BOOKKEEPER-699","4.3.0"
"582","BOOKKEEPER-698","4.3.0"
"583","BOOKKEEPER-697","4.3.0"
"584","BOOKKEEPER-696","4.3.0"
"585","BOOKKEEPER-688","4.3.0"
"586","BOOKKEEPER-688","4.2.3"
"587","BOOKKEEPER-686","4.3.0"
"588","BOOKKEEPER-678","4.3.0"
"589","BOOKKEEPER-676","4.3.0"
"590","BOOKKEEPER-673","4.3.0"
"591","BOOKKEEPER-673","4.2.3"
"592","BOOKKEEPER-666","4.3.0"
"593","BOOKKEEPER-662","4.3.0"
"594","BOOKKEEPER-661","4.3.0"
"595","BOOKKEEPER-659","4.3.0"
"596","BOOKKEEPER-658","4.3.0"
"597","BOOKKEEPER-657","4.3.0"
"598","BOOKKEEPER-654","4.3.0"
"599","BOOKKEEPER-653","4.3.0"
"600","BOOKKEEPER-645","4.3.0"
"601","BOOKKEEPER-644","4.3.0"
"602","BOOKKEEPER-643","4.3.0"
"603","BOOKKEEPER-641","4.3.0"
"604","BOOKKEEPER-640","4.3.0"
"605","BOOKKEEPER-638","4.3.0"
"606","BOOKKEEPER-633","4.3.0"
"607","BOOKKEEPER-630","4.3.0"
"608","BOOKKEEPER-629","4.3.0"
"609","BOOKKEEPER-617","4.3.0"
"610","BOOKKEEPER-615","4.3.0"
"611","BOOKKEEPER-614","4.3.0"
"612","BOOKKEEPER-611","4.3.0"
"613","BOOKKEEPER-610","4.3.0"
"614","BOOKKEEPER-608","4.3.0"
"615","BOOKKEEPER-605","4.3.0"
"616","BOOKKEEPER-602","4.3.0"
"617","BOOKKEEPER-602","4.2.3"
"618","BOOKKEEPER-599","4.3.0"
"619","BOOKKEEPER-597","4.3.0"
"620","BOOKKEEPER-592","4.3.0"
"621","BOOKKEEPER-586","4.3.0"
"622","BOOKKEEPER-582","4.3.0"
"623","BOOKKEEPER-576","4.3.0"
"624","BOOKKEEPER-574","4.3.0"
"625","BOOKKEEPER-573","4.3.0"
"626","BOOKKEEPER-565","4.3.0"
"627","BOOKKEEPER-564","4.3.0"
"628","BOOKKEEPER-563","4.3.0"
"629","BOOKKEEPER-561","4.3.0"
"630","BOOKKEEPER-557","4.3.0"
"631","BOOKKEEPER-555","4.3.0"
"632","BOOKKEEPER-544","4.3.0"
