"Index","Ticket","FixVersion"
"513","TAJO-427","0.8.0"
"514","TAJO-427","0.9.0"
"515","TAJO-426","0.8.0"
"516","TAJO-424","0.8.0"
"517","TAJO-423","0.8.0"
"518","TAJO-422","0.8.0"
"519","TAJO-421","0.8.0"
"520","TAJO-419","0.8.0"
"521","TAJO-418","0.8.0"
"522","TAJO-417","0.8.0"
"523","TAJO-415","0.8.0"
"524","TAJO-410","0.8.0"
"525","TAJO-409","0.8.0"
"526","TAJO-407","0.8.0"
"527","TAJO-406","0.8.0"
"528","TAJO-405","0.8.0"
"529","TAJO-404","0.8.0"
"530","TAJO-403","0.8.0"
"531","TAJO-402","0.8.0"
"532","TAJO-400","0.8.0"
"533","TAJO-399","0.8.0"
"534","TAJO-397","0.8.0"
"535","TAJO-396","0.8.0"
"536","TAJO-395","0.8.0"
"537","TAJO-394","0.8.0"
"538","TAJO-393","0.8.0"
"539","TAJO-392","0.8.0"
"540","TAJO-391","0.8.0"
"541","TAJO-390","0.8.0"
"542","TAJO-389","0.8.0"
"543","TAJO-388","0.8.0"
"544","TAJO-387","0.8.0"
"545","TAJO-384","0.8.0"
"546","TAJO-381","0.8.0"
"547","TAJO-378","0.8.0"
"548","TAJO-378","0.9.0"
"549","TAJO-377","0.8.0"
"550","TAJO-377","0.9.0"
"551","TAJO-375","0.8.0"
"552","TAJO-372","0.8.0"
"553","TAJO-369","0.8.0"
"554","TAJO-368","0.8.0"
"555","TAJO-365","0.8.0"
"556","TAJO-364","0.8.0"
"557","TAJO-361","0.8.0"
"558","TAJO-360","0.8.0"
"559","TAJO-359","0.8.0"
"560","TAJO-358","0.8.0"
"561","TAJO-357","0.8.0"
"562","TAJO-356","0.8.0"
"563","TAJO-356","0.9.0"
"564","TAJO-355","0.8.0"
"565","TAJO-354","0.8.0"
"566","TAJO-353","0.8.0"
"567","TAJO-353","0.9.0"
"568","TAJO-352","0.8.0"
"569","TAJO-351","0.8.0"
"570","TAJO-350","0.8.0"
"571","TAJO-349","0.8.0"
"572","TAJO-348","0.8.0"
"573","TAJO-347","0.8.0"
"574","TAJO-346","0.8.0"
"575","TAJO-345","0.8.0"
"576","TAJO-344","0.8.0"
"577","TAJO-343","0.8.0"
"578","TAJO-342","0.8.0"
"579","TAJO-341","0.8.0"
"580","TAJO-340","0.8.0"
"581","TAJO-339","0.8.0"
"582","TAJO-338","0.8.0"
"583","TAJO-336","0.8.0"
"584","TAJO-335","0.8.0"
"585","TAJO-334","0.8.0"
"586","TAJO-333","0.8.0"
"587","TAJO-332","0.8.0"
"588","TAJO-329","0.8.0"
"589","TAJO-327","0.8.0"
"590","TAJO-325","0.8.0"
"591","TAJO-322","0.8.0"
"592","TAJO-321","0.8.0"
"593","TAJO-320","0.8.0"
"594","TAJO-319","0.8.0"
"595","TAJO-318","0.8.0"
"596","TAJO-317","0.8.0"
"597","TAJO-316","0.8.0"
"598","TAJO-315","0.8.0"
"599","TAJO-314","0.8.0"
"600","TAJO-313","0.8.0"
"601","TAJO-312","0.8.0"
"602","TAJO-311","0.8.0"
"603","TAJO-310","0.8.0"
"604","TAJO-308","0.8.0"
"605","TAJO-307","0.8.0"
"606","TAJO-306","0.8.0"
"607","TAJO-305","0.8.0"
"608","TAJO-304","0.8.0"
"609","TAJO-301","0.8.0"
"610","TAJO-300","0.8.0"
"611","TAJO-297","0.8.0"
"612","TAJO-296","0.8.0"
"613","TAJO-295","0.8.0"
"614","TAJO-294","0.8.0"
"615","TAJO-293","0.8.0"
"616","TAJO-292","0.8.0"
"617","TAJO-290","0.8.0"
"618","TAJO-289","0.8.0"
"619","TAJO-287","0.8.0"
"620","TAJO-286","0.8.0"
"621","TAJO-285","0.8.0"
"622","TAJO-284","0.8.0"
"623","TAJO-280","0.8.0"
"624","TAJO-279","0.8.0"
"625","TAJO-275","0.8.0"
"626","TAJO-274","0.8.0"
"627","TAJO-268","0.8.0"
"628","TAJO-267","0.8.0"
"629","TAJO-225","0.8.0"
"630","TAJO-218","0.8.0"
"631","TAJO-218","0.9.0"
"632","TAJO-217","0.8.0"
"633","TAJO-215","0.8.0"
"634","TAJO-215","0.9.0"
"635","TAJO-207","0.8.0"
"636","TAJO-206","0.8.0"
"637","TAJO-200","0.8.0"
"638","TAJO-192","0.8.0"
"639","TAJO-182","0.8.0"
"640","TAJO-176","0.8.0"
"641","TAJO-166","0.8.0"
"642","TAJO-146","0.8.0"
"643","TAJO-138","0.8.0"
"644","TAJO-135","0.8.0"
"645","TAJO-132","0.8.0"
"646","TAJO-122","0.8.0"
"647","TAJO-62","0.8.0"
"648","TAJO-61","0.8.0"
"649","TAJO-60","0.8.0"
"650","TAJO-36","0.8.0"
"651","TAJO-34","0.8.0"
"652","TAJO-30","0.8.0"
"653","TAJO-30","0.9.0"
"654","TAJO-23","0.8.0"
"655","TAJO-16","0.8.0"
"656","TAJO-9","0.8.0"
"657","TAJO-1116","0.9.0"
"658","TAJO-1113","0.9.0"
"659","TAJO-1111","0.9.0"
"660","TAJO-1110","0.9.0"
"661","TAJO-1107","0.9.0"
"662","TAJO-1106","0.9.0"
"663","TAJO-1105","0.9.0"
"664","TAJO-1104","0.9.0"
"665","TAJO-1103","0.9.0"
"666","TAJO-1102","0.9.0"
"667","TAJO-1101","0.9.0"
"668","TAJO-1099","0.9.0"
"669","TAJO-1098","0.9.0"
"670","TAJO-1097","0.9.0"
"671","TAJO-1096","0.9.0"
"672","TAJO-1093","0.9.0"
"673","TAJO-1081","0.9.0"
"674","TAJO-1078","0.9.0"
"675","TAJO-1077","0.9.0"
"676","TAJO-1075","0.9.0"
"677","TAJO-1074","0.9.0"
"678","TAJO-1072","0.9.0"
"679","TAJO-1071","0.9.0"
"680","TAJO-1070","0.9.0"
"681","TAJO-1069","0.9.0"
"682","TAJO-1068","0.9.0"
"683","TAJO-1067","0.9.0"
"684","TAJO-1065","0.9.0"
"685","TAJO-1062","0.9.0"
"686","TAJO-1061","0.9.0"
"687","TAJO-1060","0.9.0"
"688","TAJO-1056","0.9.0"
"689","TAJO-1054","0.9.0"
"690","TAJO-1052","0.9.0"
"691","TAJO-1050","0.9.0"
"692","TAJO-1049","0.9.0"
"693","TAJO-1048","0.9.0"
"694","TAJO-1047","0.9.0"
"695","TAJO-1046","0.9.0"
"696","TAJO-1040","0.9.0"
"697","TAJO-1038","0.9.0"
"698","TAJO-1037","0.9.0"
"699","TAJO-1034","0.9.0"
"700","TAJO-1030","0.9.0"
"701","TAJO-1029","0.9.0"
"702","TAJO-1028","0.9.0"
"703","TAJO-1027","0.9.0"
"704","TAJO-1025","0.9.0"
"705","TAJO-1024","0.9.0"
"706","TAJO-1022","0.9.0"
"707","TAJO-1021","0.9.0"
"708","TAJO-1020","0.9.0"
"709","TAJO-1017","0.9.0"
"710","TAJO-1016","0.9.0"
"711","TAJO-1015","0.9.0"
"712","TAJO-1013","0.9.0"
"713","TAJO-1010","0.9.0"
"714","TAJO-1009","0.9.0"
"715","TAJO-1008","0.9.0"
"716","TAJO-1007","0.9.0"
"717","TAJO-1006","0.9.0"
"718","TAJO-1004","0.9.0"
"719","TAJO-1001","0.9.0"
"720","TAJO-1000","0.9.0"
"721","TAJO-999","0.9.0"
"722","TAJO-996","0.9.0"
"723","TAJO-995","0.9.0"
"724","TAJO-994","0.9.0"
"725","TAJO-992","0.9.0"
"726","TAJO-991","0.9.0"
"727","TAJO-990","0.9.0"
"728","TAJO-989","0.9.0"
"729","TAJO-987","0.9.0"
"730","TAJO-985","0.9.0"
"731","TAJO-984","0.9.0"
"732","TAJO-983","0.9.0"
"733","TAJO-981","0.9.0"
"734","TAJO-980","0.9.0"
"735","TAJO-979","0.9.0"
"736","TAJO-978","0.9.0"
"737","TAJO-977","0.9.0"
"738","TAJO-975","0.9.0"
"739","TAJO-974","0.9.0"
"740","TAJO-972","0.9.0"
"741","TAJO-969","0.9.0"
